Rank,Ticker,Price,Sector,Industry,RS Percentile,ATR,52WKH,52WKL,Earning_Date,E_Day1,E_Day2,E_Day3,E_Day4,E_Day5,E_Day6
307,CRDO,226.1,Technology,Semiconductors,96.0,18.9249,243.21,59.88,2026-06-01,229.0,214.6,217.5,206.89,222.27,234.32
2456,SAIC,115.08,Technology,Information Technology Services,74.0,4.7579,123.41,81.08,2026-06-01,113.36,114.73,116.57,114.35,113.2,114.08
4533,FRHC,150.47,Financial Services,Financial Conglomerates,52.0,5.5122,194.01,107.97,2026-06-01,157.84,158.56,159.22,148.51,142.01,141.86
5233,ICLR,138.03,Healthcare,Diagnostics & Research,45.0,6.7464,211.0,66.57,2026-06-01,137.54,143.9,152.8,149.45,152.24,151.82
595,PANW,297.18,Technology,Software - Infrastructure,93.0,14.5979,302.95,139.57,2026-06-02,280.43,279.25,272.05,266.33,260.52,263.22
2116,CTRN,46.11,Consumer Cyclical,Apparel Retail,78.0,4.1729,56.78,28.25,2026-06-02,45.83,46.24,43.06,43.6,43.69,45.66
5602,ICLR,137.54,Healthcare,Diagnostics & Research,42.0,6.9879,211.0,66.57,2026-06-02,143.9,152.8,149.45,152.24,151.82,144.59
6380,SIG,88.0,Consumer Cyclical,Luxury Goods,34.0,4.2093,110.2,71.62,2026-06-02,85.35,86.81,83.29,84.56,86.75,85.92
8419,ULTA,494.87,Consumer Cyclical,Specialty Retail,14.0,15.5894,714.97,452.0,2026-06-02,471.21,462.52,467.07,462.8,477.9,470.75
8445,DG,106.27,Consumer Defensive,Discount Stores,13.0,4.5721,158.23,95.11,2026-06-02,105.09,103.52,103.7,106.82,109.38,109.96
544,CRWD,747.61,Technology,Software - Infrastructure,94.0,34.6233,785.66,342.72,2026-06-03,719.09,671.02,658.79,644.93,647.74,691.53
714,AVGO,479.23,Technology,Semiconductors,92.0,18.3979,495.0,241.11,2026-06-03,418.91,385.73,396.6,392.16,372.1,385.57
1159,FIVE,222.89,Consumer Cyclical,Specialty Retail,87.0,8.1834,251.63,119.06,2026-06-03,192.17,190.46,186.49,190.83,195.85,201.97
1411,PVH,98.0,Consumer Cyclical,Apparel Manufacturing,85.0,3.8418,100.74,59.6,2026-06-03,78.16,77.8,76.8,79.92,78.32,81.81
4256,ICLR,143.9,Healthcare,Diagnostics & Research,54.0,7.2807,211.0,66.57,2026-06-03,152.8,149.45,152.24,151.82,144.59,149.92
8268,THO,79.76,Consumer Cyclical,Recreational Vehicles,12.0,3.5221,122.83,69.71,2026-06-03,74.85,75.7,77.37,78.81,74.84,76.73
8586,VEEV,178.72,Healthcare,Health Information Services,8.0,8.2264,310.5,148.05,2026-06-03,178.6,172.61,167.24,167.68,163.76,161.55
8900,OLLI,79.74,Consumer Defensive,Discount Stores,5.0,3.6378,141.74,73.31,2026-06-03,74.47,76.7,78.7,77.88,78.3,83.65
38,PL,43.53,Industrials,Aerospace & Defense,99.0,4.4111,51.76,4.9,2026-06-04,32.22,32.74,31.17,30.72,34.17,31.15
76,CIEN,535.26,Technology,Communication Equipment,99.0,43.8164,637.51,70.77,2026-06-04,488.21,466.67,439.34,434.65,445.22,445.98
273,AGX,689.66,Industrials,Engineering & Construction,97.0,37.3578,748.5,193.82,2026-06-04,694.72,619.98,613.93,588.9,623.66,641.68
3528,ICLR,152.95,Healthcare,Diagnostics & Research,64.0,7.5346,211.0,66.57,2026-06-04,149.45,152.24,151.82,144.59,149.92,146.18
3806,RBRK,77.06,Technology,Software - Infrastructure,61.0,4.5411,103.0,42.25,2026-06-04,73.41,71.73,71.74,71.32,71.45,68.19
8930,TTAN,74.33,Technology,Software - Application,10.0,4.1943,119.99,54.17,2026-06-04,77.4,72.95,70.71,71.39,68.24,66.77
9059,GWRE,151.01,Technology,Software - Application,9.0,9.5371,272.6,115.57,2026-06-04,136.06,127.19,124.51,116.59,118.52,122.56
9571,LULU,125.09,Consumer Cyclical,Apparel Retail,3.0,4.6821,338.49,116.63,2026-06-04,114.23,117.55,121.36,118.93,121.84,118.77
147,FCEL,15.5,Industrials,Electrical Equipment & Parts,98.0,3.545,27.69,3.78,2026-06-08,17.49,16.21,17.69,16.94,17.5,
534,GHM,95.34,Industrials,Specialty Industrial Machinery,94.0,6.695,108.33,40.6,2026-06-08,100.28,96.06,103.0,103.89,107.57,
3030,ICLR,152.24,Healthcare,Diagnostics & Research,68.0,7.6779,211.0,66.57,2026-06-08,151.82,144.59,149.92,146.18,147.72,
7498,MTN,137.21,Consumer Cyclical,Resorts & Casinos,21.0,4.2707,172.0,118.51,2026-06-08,131.26,135.89,136.34,133.31,134.4,
1006,CASY,761.18,Consumer Cyclical,Specialty Retail,89.0,26.8375,901.0,481.3,2026-06-09,915.6,916.28,895.14,872.39,,
2925,ICLR,151.82,Healthcare,Diagnostics & Research,70.0,7.8579,211.0,66.57,2026-06-09,144.59,149.92,146.18,147.72,,
4838,SJM,112.39,Consumer Defensive,Packaged Foods,50.0,3.4955,119.39,88.25,2026-06-09,117.05,116.83,116.49,115.94,,
184,ATEX,64.55,Communication Services,Telecom Services,98.0,4.1677,71.79,17.58,2026-06-10,81.44,82.5,83.01,,,
2434,ORCL,205.81,Technology,Software - Infrastructure,75.0,13.9814,345.72,134.57,2026-06-10,184.1,184.13,192.64,,,
3599,ICLR,144.59,Healthcare,Diagnostics & Research,63.0,7.9229,211.0,66.57,2026-06-10,149.92,146.18,147.72,,,
4474,OXM,43.28,Consumer Cyclical,Apparel Manufacturing,54.0,2.705,55.76,30.57,2026-06-10,35.92,37.24,36.83,,,
1481,SENEA,149.21,Consumer Defensive,Packaged Foods,84.0,6.0732,167.52,85.2,2026-06-11,175.37,167.31,,,,
2416,ICLR,149.92,Healthcare,Diagnostics & Research,75.0,8.0843,211.0,66.57,2026-06-11,146.18,147.72,,,,
7074,RH,159.32,Consumer Cyclical,Specialty Retail,28.0,8.6179,257.0,106.3,2026-06-11,153.04,148.12,,,,
8539,LEN,94.95,Consumer Cyclical,Residential Construction,13.0,2.7836,144.24,81.18,2026-06-11,90.3,89.75,,,,
9301,ADBE,218.8,Technology,Software - Application,5.0,10.8443,416.39,218.1,2026-06-11,204.02,206.36,,,,
3261,ICLR,147.72,Healthcare,Diagnostics & Research,68.0,8.3371,211.0,66.57,2026-06-15,,,,,,
